title,date,url
"Minta Dibawakan Kelengkeng, Momen Unik Ibu Negara Brasil di Dapur MBG Halim",Date not found,https://republika.co.id/berita//t4moxw527/minta-dibawakan-kelengkeng-momen-unik-ibu-negara-brasil-di-dapur-mbg-halim
"Pakar Kebijakan Publik: MBG Perlu Diperkuat Edukasi, Transparansi, dan Kualitas Gizi di Garis Depan",Date not found,https://republika.co.id/berita//t4m9lk291/pakar-kebijakan-publik-mbg-perlu-diperkuat-edukasi-transparansi-dan-kualitas-gizi-di-garis-depan
"Puluhan Siswa SMPN 1 Lembang Tumbang Usai Santap MBG, Sampel Langsung Dikirim ke Labkesda Jabar",Date not found,https://republika.co.id/berita//t4m7dc512/puluhan-siswa-smpn-1-lembang-tumbang-usai-santap-mbg-sampel-langsung-dikirim-ke-labkesda-jabar
"Lagi, Keracunan Terjadi Usai Konsumsi MBG di Bandung Barat Korban Puluhan Siswa",Date not found,https://republika.co.id/berita//t4l7g2512/lagi-keracunan-terjadi-usai-konsumsi-mbg-di-bandung-barat-korban-puluhan-siswa
BGN Wajibkan SPPG dengan Kondisi Ini Gunakan Air Galon untuk Masak Menu MBG,Date not found,https://republika.co.id/berita//t4ksxh409/bgn-wajibkan-sppg-dengan-kondisi-ini-gunakan-air-galon-untuk-masak-menu-mbg
"BGN: SPPG Dibagi TigaShift, tidak Boleh Memasak Menu MBG Sebelum Jam 12 Malam",Date not found,https://republika.co.id/berita//t4kscy409/bgn-sppg-dibagi-tiga-shift-tidak-boleh-memasak-menu-mbg-sebelum-jam-12-malam
"Keracunan MBG Berulang, Pemkab Bandung Barat Targetkan Seluruh SPPG Punya SLHS Akhir Tahun",Date not found,https://republika.co.id/berita//t4kpjs512/keracunan-mbg-berulang-pemkab-bandung-barat-targetkan-seluruh-sppg-punya-slhs-akhir-tahun
Agenda Presiden Brasil: Bertemu Prabowo di Istana dan Tinjau Program MBG,Date not found,https://republika.co.id/berita//t4k3s9484/agenda-presiden-brasil-bertemu-prabowo-di-istana-dan-tinjau-program-mbg
CSIS Soroti Sentralisasi dan Pendanaan Program Makan Bergizi Gratis,Date not found,https://republika.co.id/berita//t4j6lm370/csis-soroti-sentralisasi-dan-pendanaan-program-makan-bergizi-gratis
"Dukung MBG, Muhammadiyah Kembangkan 5 Model SPPG",Date not found,https://republika.co.id/berita//t4isr3458/dukung-mbg-muhammadiyah-kembangkan-5-model-sppg
"Zulhas Targetkan 82,9 Juta Penerima Program MBG Tercapai Maret 2026",Date not found,https://republika.co.id/berita//t4h4yy416/zulhas-targetkan-829-juta-penerima-program-mbg-tercapai-maret-2026
BGN Tutup 112 Dapur Program MBG karena Langgar SOP,Date not found,https://republika.co.id/berita//t4h4fo416/bgn-tutup-112-dapur-program-mbg%c2%a0karena-langgar-sop
BGN akan Terapkan Rapid Test Makanan MBG di Sekolah,Date not found,https://republika.co.id/berita//t4h1jg487/bgn-akan-terapkan-rapid-test-makanan-mbg-di-sekolah
"Perpres Tata Kelola MBG, SPPG Dilarang Masak Mulai Pukul 00.00",Date not found,https://republika.co.id/berita//t4h122484/perpres-tata-kelola-mbg-sppg-dilarang-masak-mulai-pukul-00-00
Program MBG Dongkrak Omzet Perajin Tempe Rumahan,Date not found,https://republika.co.id/berita//t4gif7375/program-mbg-dongkrak-omzet-perajin-tempe-rumahan
"Satu Tahun Pemerintahan Prabowo-Gibran, BEM UI Suarakan 8 Tuntutan, Sindir MBG Hingga Magang",Date not found,https://republika.co.id/berita//t4fdqg377/satu-tahun-pemerintahan-prabowo-gibran-bem-ui-suarakan-8-tuntutan-sindir-mbg-hingga-magang
Krakatau Steel dan Coopmura Kolaborasi Bangun Dapur MBG Modular di Daerah Terpencil,Date not found,https://republika.co.id/berita//t4fc9u522/krakatau-steel-dan-coopmura-kolaborasi-bangun-dapur-mbg-modular-di-daerah-terpencil
"Mengawal Niat Mulia MBG, Ketika Gizi tak Boleh Ditukar Tragedi",Date not found,https://republika.co.id/berita//t4dtm3425/mengawal-niat-mulia-mbg-ketika-gizi-tak-boleh-ditukar-tragedi
Menyempurnakan MBG dengan Memperkuat Pengawasan,Date not found,https://republika.co.id/berita//t4dxcj487/menyempurnakan-mbg-dengan-memperkuat-pengawasan
"84 Persen Publik Nilai Pajak Pemerintah Berat, Celios: Daya Beli Tertekan",Date not found,https://republika.co.id/berita//t4dtcm370/84-persen-publik-nilai-pajak-pemerintah-berat-celios-daya-beli-tertekan
"Soal Kasus Keracunan di MBG, Prabowo: Masih dalamCorridor of Error",Date not found,https://republika.co.id/berita//t4cp0o377/soal-kasus-keracunan-di-mbg-prabowo-masih-dalam-corridor-of-error
"Keracunan karena MBG di Bandung Barat Terus Berulang, Ini Permintaan Bupati Jeje ke BGN",Date not found,https://republika.co.id/berita//t4c3v2512/keracunan-karena-mbg-di-bandung-barat-terus-berulang-ini-permintaan-bupati-jeje-ke-bgn
"1.000 Siswa Keracunan MBG, BGN: SPPG di Bandung Barat Langgar SOP",Date not found,https://republika.co.id/berita//t4btas282/1-000-siswa-keracunan-mbg-bgn-sppg-di-bandung-barat-langgar-sop
